Ana,9.500000,Wed Jul 22 00:24:14 2020,-,ceapa.jpg
ce,3.000000,Wed Jul 22 00:27:49 2020,in oceanul pacific,4
5,5.550000,Wed Jul 22 00:32:52 2020 ,ceapa,5
da,3.130000,Wed Jul 22 19:51:28 2020 ,-,da
Post Lamone,38.630001,Sat Jul 25 17:28:52 2020 ,when its past 11 thats a different side i see,-
cine,500.000000,Sat Jul 25 22:31:52 2020 ,cine te creziviata mea s-o controlezioare cate femei au statlanga un asa barbat,-
G-Eazy,99.989998,Sun Jul 26 12:29:50 2020 ,got a lotta lotta lotta that  ,-
can i not,44.000000,Sun Jul 26 12:33:40 2020 ,f,-
long hair ,5.690000,Sun Jul 26 13:38:20 2020 ,fr,-
ha,3.000000,Sun Jul 26 13:40:04 2020 ,,-
3,2.490000,Sun Jul 26 13:49:28 2020 ,,-
ultima,285.010010,Sun Jul 26 17:05:43 2020 ,,-
vin de la vaslui,0.010000,Fri Aug  7 01:05:11 2020 ,si femei de 7 stele,-
